"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14159","test_login_page","","Thu Apr 17 09:27:34 IST 2025","passed","Thu Apr 17 09:27:49 IST 2025","","test_screenshot","",""
"","0","test_login_page","","Thu Apr 17 09:27:34 IST 2025","broken","Thu Apr 17 09:27:34 IST 2025","","test_allure_attach","",""
